CoC Number,County,Year,CoC_Category_Largely Rural CoC,CoC_Category_Largely Rural CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,Median_House_Values_5_year_lag1,Median_Rent_5_year_lag1,Median_Gross_Rent_5_year_lag1,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Poverty Rate_lag1,Labor Force_lag1,pct_change_total_homeless_per_10k
CA-608,riverside county,2014,0,0,0,0,231000.0,1015.0,1384.0,0.5771287643918159,73.0,0.0,0.33,10.0,54095.0,17.3,993023.0,-0.20539986301630253
CA-608,riverside county,2015,0,0,0,0,236400.0,1027.0,1361.0,0.5795251274089575,71.0,0.0,0.34,8.3,57006.0,17.1,1009162.0,-0.09748013689991974
CA-608,riverside county,2016,0,0,0,0,253200.0,1027.0,1334.0,0.5698821177359779,64.0,0.0,0.35,6.7,58292.0,16.2,1033458.0,0.09502453533169897
CA-608,riverside county,2017,0,0,0,0,276300.0,1062.0,1347.0,0.5641766882516188,57.0,0.0,0.36,6.1,60134.0,15.3,1051610.0,-0.04820462091692734
CA-608,riverside county,2018,0,0,0,0,304500.0,1104.0,1387.0,0.563566539,56.0,0.21,0.35,5.3,63944.0,12.9,1070876.0,0.204009115452648
CA-609,san bernardino county,2013,0,0,0,0,241500.0,963.0,1307.0,0.5679488508103578,69.0,0.0,0.37,11.6,50770.0,20.4,890518.0,-0.014033118364455421
CA-609,san bernardino county,2014,0,0,0,0,222300.0,965.0,1272.0,0.5679022541357698,70.0,0.0,0.38,9.9,52323.0,19.1,893610.0,-0.0784734857674898
CA-609,san bernardino county,2015,0,0,0,0,225400.0,972.0,1255.0,0.5704165474045763,66.0,0.0,0.39,8.1,52041.0,20.6,903649.0,-0.1268255977289774
CA-609,san bernardino county,2016,0,0,0,0,236700.0,975.0,1233.0,0.5682273991065772,58.0,0.0,0.4,6.5,53803.0,19.0,919308.0,-0.019062099008182454
CA-609,san bernardino county,2017,0,0,0,0,256000.0,991.0,1245.0,0.5632573634476171,56.0,0.0,0.41,5.8,56337.0,17.7,930242.0,0.12762673234820077
CA-609,san bernardino county,2018,0,0,0,0,280200.0,1032.0,1278.0,0.5554061333868108,49.0,0.19,0.41,5.0,60420.0,16.2,942048.0,0.22608924122892304
CA-611,ventura county,2013,0,0,0,1,465600.0,1356.0,1793.0,0.5499028746920748,38.0,0.0,0.35,9.2,71517.0,11.5,433668.0,-0.15356463760715466
